N_unmapped	381253	381253	381253
N_multimapping	408656	408656	408656
N_noFeature	1625465	9303144	9180755
N_ambiguous	2592353	506789	516569
ENSG00000142611	88	44	45
ENSG00000284616	0	0	0
ENSG00000260972	0	0	0
ENSG00000229280	0	0	0
ENSG00000232596	0	0	0
ENSG00000231510	0	0	0
ENSG00000149527	61	36	27
ENSG00000272235	0	0	0
ENSG00000284694	0	0	0
ENSG00000224387	2	0	2
ENSG00000284674	0	0	0
ENSG00000224338	0	0	0
ENSG00000287727	13	10	3
ENSG00000215720	0	0	0
ENSG00000142606	17	81	89
ENSG00000225931	0	0	0
ENSG00000229393	3	1	4
ENSG00000287586	1	1	0
ENSG00000227169	0	0	0
ENSG00000283356	0	0	0
ENSG00000225387	3	2	1
ENSG00000048707	1027	509	518
ENSG00000225196	0	0	0
ENSG00000279625	0	0	0
ENSG00000285833	0	0	5
ENSG00000280222	0	0	0
ENSG00000285945	0	0	0
ENSG00000197921	15	13	2
ENSG00000284666	0	0	0
ENSG00000234397	0	0	0
ENSG00000233419	0	0	0
ENSG00000225011	0	0	0
ENSG00000284676	0	0	0
ENSG00000270927	0	0	0
ENSG00000230523	0	0	0
ENSG00000233234	0	0	0
ENSG00000189337	425	300	303
ENSG00000283259	0	0	0
ENSG00000175147	143	166	196
ENSG00000230214	0	0	0
ENSG00000272420	9	7	2
ENSG00000236648	1	1	1
ENSG00000232273	1	0	1
ENSG00000130940	179	162	132
ENSG00000227527	3	0	3
ENSG00000163873	64	22	42
ENSG00000117215	0	0	0
ENSG00000230163	0	12	4
ENSG00000215895	2	0	2
ENSG00000274944	0	0	0
ENSG00000272078	4	50	69
ENSG00000230451	0	0	0
ENSG00000231606	0	0	0
ENSG00000254553	0	0	0
ENSG00000284653	0	0	0
ENSG00000237749	0	0	0
ENSG00000276747	0	0	0
ENSG00000159339	4	2	2
ENSG00000261781	0	0	0
ENSG00000224751	0	0	0
ENSG00000230585	0	0	2
ENSG00000117000	1155	581	574
ENSG00000284989	0	0	0
ENSG00000231630	0	0	0
ENSG00000255811	0	0	0
ENSG00000225671	0	0	0
ENSG00000236111	0	0	0
ENSG00000116544	62	30	32
ENSG00000236723	1	161	145
ENSG00000232467	0	0	0
ENSG00000237130	0	0	0
ENSG00000232335	0	79	54
ENSG00000232762	1	0	1
ENSG00000284686	0	0	0
ENSG00000259818	4	4	0
ENSG00000234318	0	0	0
