N_unmapped	492984	492984	492984
N_multimapping	462213	462213	462213
N_noFeature	2278607	9405430	9234985
N_ambiguous	2309927	438253	453007
ENSG00000142611	233	123	114
ENSG00000284616	0	0	0
ENSG00000260972	0	0	0
ENSG00000229280	0	0	0
ENSG00000232596	0	0	0
ENSG00000231510	0	0	0
ENSG00000149527	681	344	339
ENSG00000272235	0	0	0
ENSG00000284694	0	0	0
ENSG00000224387	30	21	9
ENSG00000284674	0	0	0
ENSG00000224338	0	0	0
ENSG00000287727	22	9	14
ENSG00000215720	2	2	0
ENSG00000142606	19	102	131
ENSG00000225931	0	0	0
ENSG00000229393	35	20	17
ENSG00000287586	1	1	0
ENSG00000227169	0	0	0
ENSG00000283356	0	0	0
ENSG00000225387	4	2	2
ENSG00000048707	1363	629	734
ENSG00000225196	0	0	0
ENSG00000279625	0	0	0
ENSG00000285833	1	94	108
ENSG00000280222	0	0	0
ENSG00000285945	0	0	0
ENSG00000197921	866	468	433
ENSG00000284666	7	1	6
ENSG00000234397	0	0	0
ENSG00000233419	0	0	0
ENSG00000225011	0	0	0
ENSG00000284676	0	0	0
ENSG00000270927	0	0	0
ENSG00000230523	0	0	0
ENSG00000233234	0	0	0
ENSG00000189337	645	448	427
ENSG00000283259	1	1	0
ENSG00000175147	45	136	153
ENSG00000230214	0	0	0
ENSG00000272420	11	8	3
ENSG00000236648	1	0	1
ENSG00000232273	0	0	0
ENSG00000130940	945	884	834
ENSG00000227527	1	0	1
ENSG00000163873	1163	606	557
ENSG00000117215	0	0	0
ENSG00000230163	0	12	10
ENSG00000215895	0	0	0
ENSG00000274944	0	0	0
ENSG00000272078	62	398	437
ENSG00000230451	0	0	0
ENSG00000231606	0	0	0
ENSG00000254553	0	0	0
ENSG00000284653	0	0	0
ENSG00000237749	0	0	0
ENSG00000276747	0	0	0
ENSG00000159339	0	0	0
ENSG00000261781	0	0	0
ENSG00000224751	0	0	0
ENSG00000230585	1	1	0
ENSG00000117000	1440	668	772
ENSG00000284989	0	0	0
ENSG00000231630	0	0	0
ENSG00000255811	0	0	0
ENSG00000225671	1	1	0
ENSG00000236111	0	0	0
ENSG00000116544	47	30	17
ENSG00000236723	3	97	109
ENSG00000232467	0	0	0
ENSG00000237130	0	0	0
ENSG00000232335	0	48	63
ENSG00000232762	0	0	0
ENSG00000284686	0	0	0
ENSG00000259818	0	0	0
ENSG00000234318	0	0	0
ENSG00000227485	0	0	0
ENSG00000236646	0	0	0
ENSG00000171872	0	0	0
ENSG00000163877	156	144	179
ENSG00000228929	0	0	0
ENSG00000224570	0	0	0
ENSG00000224980	0	0	0
ENSG00000278967	3	1	2
ENSG00000233910	0	0	0
ENSG00000287703	0	0	0
ENSG00000283039	0	0	0
ENSG00000229294	2	2	0
ENSG00000236973	0	0	0
ENSG00000277397	0	0	0
ENSG00000275350	0	0	0
ENSG00000285778	0	0	0
ENSG00000233407	0	0	0
ENSG00000280317	0	0	0
ENSG00000233994	0	0	0
